ARO_ID,Gene,Organism,Antibiotics,Drug_Class,Resistance_Mechanism
3002302,VIM-32,Klebsiella oxytoca,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002229,IMP-38,Klebsiella pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001026,TEM-160,Proteus mirabilis,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002571,AAC(6')-Iaa,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3001108,SHV-51,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001034,TEM-168,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000994,TEM-130,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001437,OXA-67,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000948,TEM-81,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001674,OXA-249,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001344,SHV-143,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002367,PER-5,Providencia rettgeri,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002027,CMY-16,Proteus mirabilis,,cephalosporin,antibiotic inactivation
3003117,OXA-421,Acinetobacter pittii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002331,GES-2,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001153,SHV-104,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002603,aadA3,Plasmid NR79,spectinomycin;streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3000861,rmtC,Pseudomonas aeruginosa,dibekacin;amikacin;gentamicin C;sisomicin;netilmicin;kanamycin A;tobramycin;isepamicin;G418;arbekacin;gentamicin B;gentamicin,aminoglycoside antibiotic,antibiotic target alteration
3001836,ACT-14,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002982,amrA,Burkholderia pseudomallei K96243,tobramycin;azithromycin,macrolide antibiotic;aminoglycoside antibiotic,antibiotic efflux
3002033,CMY-22,Escherichia coli,,cephalosporin,antibiotic inactivation
3002875,dfrE,Enterococcus faecalis EnGen0074,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3003205,Erm(43),Mammaliicoccus lentus,erythromycin;clindamycin;pristinamycin IA,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin B antibiotic,antibiotic target alteration
3002650,APH(3')-Vb,Streptomyces ribosidificus,neomycin;ribostamycin;paromomycin,aminoglycoside antibiotic,antibiotic inactivation
3000375,ErmB,Enterococcus faecium,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3003066,smeR,Stenotrophomonas maltophilia,,aminoglycoside antibiotic;cephalosporin;penicillin beta-lactam,antibiotic efflux
3001645,OXA-78,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000391,norA,Staphylococcus epidermidis,ciprofloxacin;acriflavine;norfloxacin,fluoroquinolone antibiotic;disinfecting agents and antiseptics,antibiotic efflux
3001182,SHV-140,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002283,VIM-13,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003154,SHV-187,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000816,mtrA,Neisseria gonorrhoeae,erythromycin;azithromycin,macrolide antibiotic,antibiotic efflux
3002453,OKP-B-20,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002628,aad(6),Streptococcus oralis,streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3001924,CTX-M-63,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3002731,QnrB16,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001839,ACT-18,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000172,FosB,Bacillus cereus ATCC 14579,fosfomycin,phosphonic acid antibiotic,antibiotic inactivation
3001475,OXA-183,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001483,OXA-205,Pseudomonas aeruginosa,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001159,SHV-110,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001627,OXA-91,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001412,OXA-17,Klebsiella pneumoniae,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002586,AAC(6')-32,Pseudomonas aeruginosa,amikacin;tobramycin;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3001170,SHV-123,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002723,QnrB9,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002685,catIII,Plasmid R387,azidamfenicol;chloramphenicol;thiamphenicol,phenicol antibiotic,antibiotic inactivation
3001823,ACT-3,Klebsiella pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002861,dfrA5,Salmonella enterica subsp. enterica serovar Enteritidis,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3002803,QnrVC6,Vibrio parahaemolyticus,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002086,CMY-73,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3001894,CTX-M-32,Escherichia coli,,cephalosporin,antibiotic inactivation
3001405,OXA-10,Escherichia coli,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002765,QnrB50,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002365,PER-3,Aeromonas caviae,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002742,QnrB27,Citrobacter braakii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002077,CMY-64,Escherichia coli,,cephalosporin,antibiotic inactivation
3002859,dfrA14,Escherichia coli,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3002070,CMY-99,Proteus mirabilis,,cephalosporin,antibiotic inactivation
3003440,mecB,Macrococcus caseolyticus,methicillin,penicillin beta-lactam,antibiotic target replacement
3001419,OXA-24,Acinetobacter baumannii,oxacillin;BAL30072,monobactam;carbapenem;penicillin beta-lactam,antibiotic inactivation
3001061,SHV-2A,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001439,OXA-101,Citrobacter freundii,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001081,SHV-23,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002482,LRA-1,uncultured bacterium BLR1,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002575,AAC(6')-Iai,Pseudomonas aeruginosa,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3001140,SHV-86,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001945,CTX-M-84,Salmonella enterica subsp. enterica serovar Derby,,cephalosporin,antibiotic inactivation
3003101,cphA5,Aeromonas salmonicida,,carbapenem,antibiotic inactivation
3001879,CTX-M-16,Escherichia coli,,cephalosporin,antibiotic inactivation
3002787,QnrC,Proteus mirabilis,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001798,OXA-74,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002382,SME-4,Serratia marcescens,,carbapenem,antibiotic inactivation
3000594,ErmR,Aeromicrobium erythreum,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3002049,CMY-38,Proteus mirabilis,,cephalosporin,antibiotic inactivation
3001054,TEM-194,Acinetobacter baumannii,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002635,APH(2'')-IIa,Escherichia coli,plazomicin,aminoglycoside antibiotic,antibiotic inactivation
3002009,CTX-M-152,Kluyvera sp. MRB7,,cephalosporin,antibiotic inactivation
3002907,vanE,Enterococcus faecalis,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3001549,OXA-362,Acinetobacter lwoffii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000582,L1 beta-lactamase,Stenotrophomonas maltophilia,,cephalosporin,antibiotic inactivation
3003164,CTX-M-156,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001103,SHV-45,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002897,SAT-4,Campylobacter coli,streptothricin,nucleoside antibiotic,antibiotic inactivation
3000814,MexT,Pseudomonas aeruginosa PAO1,ciprofloxacin;trimethoprim;chloramphenicol,fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic,antibiotic efflux
3000801,MexD,Pseudomonas aeruginosa,erythromycin;gentamicin C;tetracycline;novobiocin;trimethoprim;chloramphenicol;ofloxacin;gentamicin,macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penicillin beta-lactam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic,antibiotic efflux
3000569,tet(41),Serratia marcescens,tetracycline,tetracycline antibiotic,antibiotic efflux
3003194,GIM-2,Enterobacter cloacae,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002882,lmrD,Lactococcus lactis,,lincosamide antibiotic,antibiotic efflux
3001473,OXA-179,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002833,vgaE,Staphylococcus aureus subsp. aureus ST398,clindamycin;virginiamycin M1;tiamulin,lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;pleuromutilin antibiotic,antibiotic target protection
3001955,CTX-M-95,Kluyvera ascorbata,,cephalosporin,antibiotic inactivation
3001193,SHV-154,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001056,TEM-197,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002204,IMP-13,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001932,CTX-M-71,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001915,CTX-M-53,Salmonella enterica subsp. enterica serovar Westhampton,,cephalosporin,antibiotic inactivation
3002687,catQ,Clostridium perfringens,azidamfenicol;chloramphenicol;thiamphenicol,phenicol antibiotic,antibiotic inactivation
3003564,EXO-1,Streptomyces albus,,penicillin beta-lactam,antibiotic inactivation
3002952,vanX gene in vanF cluster,Paenibacillus popilliae ATCC 14706,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3002922,vanR gene in vanC cluster,Enterococcus gallinarum,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3000843,MUS-1,Myroides odoratimimus,amoxicillin;piperacillin;ticarcillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3003070,vanX gene in vanD cluster,Enterococcus faecium,vancomycin;teicoplanin,glycopeptide antibiotic,antibiotic target alteration
3003039,OprA,Pseudomonas aeruginosa,erythromycin;amikacin;gentamicin C;ciprofloxacin;tetracycline;tobramycin;meropenem;arbekacin;norfloxacin;ofloxacin;gentamicin,macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;tetracycline antibiotic,antibiotic efflux
3002935,vanS gene in vanE cluster,Enterococcus faecalis,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3002091,CMY-78,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3002770,QnrB57,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002189,MOX-7,Aeromonas caviae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002122,CMY-111,Serratia marcescens,,cephalosporin,antibiotic inactivation
3001138,SHV-84,Escherichia coli,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002179,MIR-14,Enterobacter asburiae,,monobactam;cephalosporin,antibiotic inactivation
3001664,OXA-203,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002816,clbC,Alkalihalobacillus clausii KSM-K16,lincomycin;clindamycin;azidamfenicol;chloramphenicol;thiamphenicol;virginiamycin M1;tiamulin;madumycin II;griseoviridin;dalfopristin,lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic,antibiotic target alteration
3002985,arnA,Pseudomonas aeruginosa PAO1,polymyxin B,peptide antibiotic,antibiotic target alteration
3001124,SHV-70,Enterobacter cloacae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001828,ACT-23,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001003,TEM-139,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001865,CTX-M-2,Escherichia coli,,cephalosporin,antibiotic inactivation
3002152,DHA-21,Morganella morganii,,cephalosporin,antibiotic inactivation
3002026,CMY-15,Proteus mirabilis,,cephalosporin,antibiotic inactivation
3002553,AAC(6')-If,Enterobacter cloacae,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3002211,IMP-20,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002972,vanT gene in vanG cluster,Enterococcus faecalis,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3002926,vanR gene in vanG cluster,Enterococcus faecalis,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3000192,tet(S),Listeria monocytogenes,tetracycline;doxycycline;minocycline;chlortetracycline;demeclocycline;oxytetracycline,tetracycline antibiotic,antibiotic target protection
3002559,AAC(6')-Ip,Citrobacter freundii,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3001147,SHV-95,Citrobacter freundii,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000980,TEM-117,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001940,CTX-M-79,Escherichia coli,,cephalosporin,antibiotic inactivation
3002594,AAC(6')-IIa,Salmonella enterica subsp. enterica serovar Typhi,dibekacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3002437,OKP-B-4,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001503,OXA-258,Achromobacter ruhlandii,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001561,OXA-375,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002247,CARB-8,Oligella urethralis,,penicillin beta-lactam,antibiotic inactivation
3002450,OKP-B-17,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001815,ACC-1,Klebsiella pneumoniae,cefepime;ceftazidime;piperacillin;aztreonam;cefotaxime;cefotetan;flomoxef;moxalactam;cefpirome,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000782,adeK,Acinetobacter baumannii,tetracycline;rifampin;imipenem;trimethoprim;chloramphenicol;ticarcillin,macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;penicillin beta-lactam;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic,antibiotic efflux
3000823,ramA,Enterobacter cloacae,tigecycline;tetracycline;rifampin;chloramphenicol;ampicillin;cefalotin;triclosan,fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;penicillin beta-lactam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;disinfecting agents and antiseptics,antibiotic efflux;reduced permeability to antibiotic
3000947,TEM-80,Enterobacter cloacae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002081,CMY-68,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3001388,TEM-211,Proteus mirabilis,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002712,QnrA6,Proteus mirabilis,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002564,AAC(6')-It,Acinetobacter genomosp. 16BJ,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3001868,CTX-M-5,Salmonella enterica subsp. enterica serovar Typhimurium,,cephalosporin,antibiotic inactivation
3002347,GES-18,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001671,OXA-49,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000533,macA,Neisseria gonorrhoeae,erythromycin,macrolide antibiotic,antibiotic efflux
3002656,APH(4)-Ib,Burkholderia pseudomallei,hygromycin B,aminoglycoside antibiotic,antibiotic inactivation
3002621,aadA24,Salmonella enterica subsp. enterica serovar Newport,spectinomycin;streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3002779,QnrB67,Citrobacter braakii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002465,LEN-18,Klebsiella pneumoniae,,penicillin beta-lactam,antibiotic inactivation
3001098,SHV-40,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001428,OXA-34,Pseudomonas aeruginosa,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001950,CTX-M-90,Salmonella sp. YLD3,,cephalosporin,antibiotic inactivation
3001688,OXA-317,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002042,CMY-31,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001006,TEM-143,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001540,OXA-353,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002138,DHA-5,Morganella morganii,,cephalosporin,antibiotic inactivation
3000999,TEM-135,Salmonella enterica subsp. enterica serovar Typhimurium,ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002519,OCH-6,Brucella anthropi,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001848,ACT-28,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000602,Erm(39),Mycolicibacterium fortuitum,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3002166,MIR-1,Klebsiella pneumoniae,,monobactam;cephalosporin,antibiotic inactivation
3003207,FosK,Acinetobacter soli,fosfomycin,phosphonic acid antibiotic,antibiotic inactivation
3002068,CMY-57,Escherichia coli,,cephalosporin,antibiotic inactivation
3001160,SHV-111,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001803,OXA-142,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002718,QnrB4,Escherichia coli,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3000978,TEM-115,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002993,AQU-1,Aeromonas dhakensis,,cephalosporin,antibiotic inactivation
3002232,IMP-41,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001306,ErmW,Micromonospora griseorubida,erythromycin;josamycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic,antibiotic target alteration
3001785,OXA-73,Klebsiella pneumoniae,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001584,OXA-398,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001693,OXA-230,Acinetobacter bereziniae,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3003009,ceoA,Burkholderia cepacia,,fluoroquinolone antibiotic;aminoglycoside antibiotic,antibiotic efflux
3000343,tap,Mycolicibacterium fortuitum,tetracycline,tetracycline antibiotic,antibiotic efflux
3001375,TEM-184,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002235,IMP-44,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000964,TEM-101,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002158,FOX-4,Escherichia coli,,cephalosporin,antibiotic inactivation
3001127,SHV-73,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001769,OXA-42,Burkholderia pseudomallei,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001927,CTX-M-66,Proteus mirabilis,,cephalosporin,antibiotic inactivation
3001676,OXA-235,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000318,mphB,Escherichia coli,erythromycin;roxithromycin;telithromycin;clarithromycin;tylosin;spiramycin;azithromycin;dirithromycin;oleandomycin,macrolide antibiotic,antibiotic inactivation
3001190,SHV-151,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001606,OXA-415,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002260,IND-4,Chryseobacterium indologenes,,carbapenem,antibiotic inactivation
3002840,vatA,Staphylococcus aureus,virginiamycin M1;madumycin II;griseoviridin;dalfopristin,streptogramin antibiotic;streptogramin A antibiotic,antibiotic inactivation
3002353,GES-24,Acinetobacter baumannii,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002623,ANT(4')-Ia,Plasmid pTB913,dibekacin;amikacin;tobramycin;isepamicin,aminoglycoside antibiotic,antibiotic inactivation
3001907,CTX-M-45,Escherichia coli,,cephalosporin,antibiotic inactivation
3001075,SHV-16,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000922,TEM-53,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001546,OXA-359,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001086,SHV-28,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001526,OXA-338,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002702,cmrA,Rhodococcus rhodochrous,chloramphenicol,phenicol antibiotic,antibiotic efflux
3002215,IMP-24,Serratia marcescens,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002115,CMY-103,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3003112,lsaC,Streptococcus agalactiae,lincomycin;clindamycin;pleuromutilin,lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic,antibiotic target protection
3002209,IMP-18,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001682,OXA-254,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000599,Erm(33),Mammaliicoccus sciuri,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3001187,SHV-148,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002913,vanO,Rhodococcus hoagii,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3001885,CTX-M-23,Escherichia coli,,cephalosporin,antibiotic inactivation
3002106,CMY-93,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3000027,emrA,Escherichia coli str. K-12 substr. W3110,nalidixic acid,fluoroquinolone antibiotic,antibiotic efflux
3001514,OXA-326,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002908,vanF,Paenibacillus popilliae ATCC 14706,vancomycin,glycopeptide antibiotic,antibiotic target alteration
