gene_id,aro_accession,name,family_id,description,mechanism_id,DNA_accession,RNA_accession
3002745,ARO:3002745,QnrB30,3000419,QnrB30 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|HM439650.1|+|1-681|QnrB30 [Citrobacter braakii],gb|ADM52194.1|+|QnrB30 [Citrobacter braakii]
3002746,ARO:3002746,QnrB31,3000419,QnrB31 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.,1003,gb|HQ418999.2|+|1-681|QnrB31 [Klebsiella pneumoniae],gb|ADQ43424.1|+|QnrB31 [Klebsiella pneumoniae]
3002747,ARO:3002747,QnrB32,3000419,QnrB32 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN173054.1|+|37-681|QnrB32 [Citrobacter freundii],gb|AEL00450.1|+|QnrB32 [Citrobacter freundii]
3002748,ARO:3002748,QnrB33,3000419,QnrB33 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|JN173055.1|+|36-680|QnrB33 [Citrobacter braakii],gb|AEL00451.1|+|QnrB33 [Citrobacter braakii]
3002749,ARO:3002749,QnrB34,3000419,QnrB34 is a plasmid-mediated quinolone resistance protein found in Citrobacter werkmanii.,1003,gb|JN173056.1|+|36-683|QnrB34 [Citrobacter werkmanii],gb|AEL00452.1|+|QnrB34 [Citrobacter werkmanii]
3002750,ARO:3002750,QnrB35,3000419,QnrB35 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN173057.1|+|2307-2951|QnrB35 [Citrobacter freundii],gb|AEL00456.1|+|QnrB35 [Citrobacter freundii]
3002751,ARO:3002751,QnrB36,3000419,QnrB36 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN173058.1|+|37-681|QnrB36 [Citrobacter freundii],gb|AEL00458.1|+|QnrB36 [Citrobacter freundii]
3002752,ARO:3002752,QnrB37,3000419,QnrB37 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN173059.1|+|36-680|QnrB37 [Citrobacter freundii],gb|AEL00459.1|+|QnrB37 [Citrobacter freundii]
3002753,ARO:3002753,QnrB38,3000419,QnrB38 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN173060.2|+|2307-2951|QnrB38 [Citrobacter freundii],gb|AEL00461.1|+|QnrB38 [Citrobacter freundii]
3002754,ARO:3002754,QnrB39,3000419,QnrB39 is a chromosome-mediated quinolone resistance protein found in Citrobacter youngae.,1003,gb|ABWL02000005.1|-|133566-134210|QnrB39 [Citrobacter youngae ATCC 29220],gb|EFE09657.1|+|QnrB39 [Citrobacter youngae ATCC 29220]
3002755,ARO:3002755,QnrB40,3000419,QnrB40 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|NG_050503.1|+|16-660|QnrB40 [Citrobacter braakii],gb|WP_063866081.1|+|QnrB40 [Citrobacter braakii]
3002756,ARO:3002756,QnrB41,3000419,QnrB41 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JN166690.1|+|1-681|QnrB41 [Citrobacter freundii] Partial,gb|AEL31272.1|+|QnrB41 [Citrobacter freundii] Partial
3002757,ARO:3002757,QnrB42,3000419,QnrB42 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.,1003,gb|JN680743.1|+|1-645|QnrB42 [Klebsiella pneumoniae],gb|AEQ94272.1|+|QnrB42 [Klebsiella pneumoniae]
3002758,ARO:3002758,QnrB43,3000419,QnrB43 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|NG_050506.1|+|37-681|QnrB43 [Escherichia coli],gb|WP_063866099.1|+|QnrB43 [Escherichia coli]
3002759,ARO:3002759,QnrB44,3000419,QnrB44 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|NG_050507.1|+|37-681|QnrB44 [Escherichia coli],gb|WP_063866105.1|+|QnrB44 [Escherichia coli]
3002760,ARO:3002760,QnrB45,3000419,QnrB45 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|NG_050508.1|+|37-681|QnrB45 [Escherichia coli],gb|WP_063866109.1|+|QnrB45 [Escherichia coli]
3002761,ARO:3002761,QnrB46,3000419,QnrB46 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|HQ704413.2|+|1-681|QnrB46 [Klebsiella pneumoniae],gb|ADW54092.1|+|QnrB46 [Klebsiella pneumoniae]
3002762,ARO:3002762,QnrB47,3000419,QnrB47 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|JX440358.1|+|131-775|QnrB47 [Citrobacter freundii],gb|AFU25658.1|+|QnrB47 [Citrobacter freundii]
3002763,ARO:3002763,QnrB48,3000419,QnrB48 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JQ762640.1|+|37-681|QnrB48 [Citrobacter freundii],gb|AFH88686.1|+|QnrB48 [Citrobacter freundii]
3002764,ARO:3002764,QnrB49,3000419,QnrB49 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JQ582718.1|+|1-681|QnrB49 [Citrobacter freundii],gb|AFD54601.1|+|QnrB49 [Citrobacter freundii]
3002765,ARO:3002765,QnrB50,3000419,QnrB50 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX440357.1|+|136-780|QnrB50 [Citrobacter freundii],gb|AFU25656.1|+|QnrB50 [Citrobacter freundii]
3002767,ARO:3002767,QnrB54,3000419,QnrB54 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|HE820727.2|+|587-1231|QnrB54 [Citrobacter freundii],gb|CCI51002.2|+|QnrB54 [Citrobacter freundii]
3002768,ARO:3002768,QnrB55,3000419,QnrB55 is a plasmid-mediated quinolone resistance protein found in Raoultella terrigena.,1003,gb|KF730650.1|+|1-645|QnrB55 [Raoultella terrigena],gb|AHE41343.1|+|QnrB55 [Raoultella terrigena]
3002769,ARO:3002769,QnrB56,3000419,QnrB56 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX259317.1|+|1-681|QnrB56 [Citrobacter freundii],gb|AFR46587.1|+|QnrB56 [Citrobacter freundii]
3002770,ARO:3002770,QnrB57,3000419,QnrB57 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX259318.1|+|1-681|QnrB57 [Citrobacter freundii],gb|AFR46588.1|+|QnrB57 [Citrobacter freundii]
3002771,ARO:3002771,QnrB58,3000419,QnrB58 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX259319.1|+|1-681|QnrB58 [Citrobacter freundii],gb|AFR46589.1|+|QnrB58 [Citrobacter freundii]
3002772,ARO:3002772,QnrB59,3000419,QnrB59 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX259320.1|+|1-681|QnrB59 [Citrobacter freundii],gb|AFR46590.1|+|QnrB59 [Citrobacter freundii]
3002773,ARO:3002773,QnrB60,3000419,QnrB60 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|AB734055.1|+|377-1021|QnrB60 [Citrobacter freundii],gb|BAN04743.1|+|QnrB60 [Citrobacter freundii]
3002774,ARO:3002774,QnrB61,3000419,QnrB61 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|AB734053.1|+|2304-2948|QnrB61 [Citrobacter braakii],gb|BAN04737.1|+|QnrB61 [Citrobacter braakii]
3002775,ARO:3002775,QnrB62,3000419,QnrB62 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|JX987101.1|+|1-681|QnrB62 [Citrobacter freundii],gb|AFY16910.1|+|QnrB62 [Citrobacter freundii]
3002776,ARO:3002776,QnrB64,3000419,QnrB64 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KC580653.1|+|1-645|QnrB64 [Citrobacter freundii],gb|AGL43625.1|+|QnrB64 [Citrobacter freundii]
3002777,ARO:3002777,QnrB65,3000419,QnrB65 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KC580654.1|+|1-645|QnrB65 [Citrobacter freundii],gb|AGL43626.1|+|QnrB65 [Citrobacter freundii]
3002778,ARO:3002778,QnrB66,3000419,QnrB66 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KC580655.1|+|1-645|QnrB66 [Citrobacter freundii],gb|AGL43627.1|+|QnrB66 [Citrobacter freundii]
3002779,ARO:3002779,QnrB67,3000419,QnrB67 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|KC580656.1|+|1-645|QnrB67 [Citrobacter braakii],gb|AGL43628.1|+|QnrB67 [Citrobacter braakii]
3002780,ARO:3002780,QnrB68,3000419,QnrB68 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|KC580657.1|+|1-645|QnrB68 [Citrobacter braakii],gb|AGL43629.1|+|QnrB68 [Citrobacter braakii]
3002781,ARO:3002781,QnrB69,3000419,QnrB69 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KC580658.1|+|1-645|QnrB69 [Citrobacter freundii],gb|AGL43630.1|+|QnrB69 [Citrobacter freundii]
3002782,ARO:3002782,QnrB70,3000419,QnrB70 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KC580659.1|+|1-645|QnrB70 [Citrobacter braakii],gb|AGL43631.1|+|QnrB70 [Citrobacter braakii]
3002783,ARO:3002783,QnrB71,3000419,QnrB71 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii.,1003,gb|KC580660.1|+|1-645|QnrB71 [Citrobacter braakii],gb|AGL43632.1|+|QnrB71 [Citrobacter braakii]
3002784,ARO:3002784,QnrB72,3000419,QnrB72 is a plasmid-mediated quinolone resistance protein found in Citrobacter sp. TR21_24.,1003,gb|KC741443.1|+|1-645|QnrB72 [Citrobacter sp. TR21_24],gb|AGN92479.1|+|QnrB72 [Citrobacter sp. TR21_24]
3002785,ARO:3002785,QnrB73,3000419,QnrB73 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii.,1003,gb|KF443075.1|+|1-645|QnrB73 [Citrobacter freundii],gb|AGT59159.1|+|QnrB73 [Citrobacter freundii]
3002786,ARO:3002786,QnrB74,3000419,QnrB74 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|KJ415247.1|+|1-645|QnrB74 [Escherichia coli],gb|AHX97725.1|+|QnrB74 [Escherichia coli]
3002787,ARO:3002787,QnrC,3000419,QnrC is a plasmid-mediated quinolone resistance protein found in Proteus mirabilis.,1003,gb|EU917444.1|+|1717-2382|QnrC [Proteus mirabilis],gb|ACK75961.1|+|QnrC [Proteus mirabilis]
3002788,ARO:3002788,QnrD1,3000419,QnrD1 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica.,1003,gb|FJ228229.1|+|554-1198|QnrD1 [Salmonella enterica subsp. enterica serovar Bovismorbificans],gb|ACG70184.1|+|QnrD1 [Salmonella enterica subsp. enterica serovar Bovismorbificans]
3002789,ARO:3002789,QnrD2,3000419,QnrD2 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica.,1003,gb|KJ158441.1|+|2733-3377|QnrD2 [Salmonella enterica subsp. enterica serovar Hadar],gb|AHY03238.1|+|QnrD2 [Salmonella enterica subsp. enterica serovar Hadar]
3002790,ARO:3002790,QnrS1,3000419,QnrS1 is a plasmid-mediated quinolone resistance protein found in Shigella flexneri.,1003,gb|DQ485529.1|+|1-657|QnrS1 [Salmonella enterica subsp. enterica serovar Bovismorbificans],gb|ABF47469.1|+|QnrS1 [Salmonella enterica subsp. enterica serovar Bovismorbificans]
3002791,ARO:3002791,QnrS2,3000419,QnrS2 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica.,1003,gb|DQ485530.1|+|1-657|QnrS2 [Salmonella enterica subsp. enterica serovar Anatum],gb|ABF47470.1|+|QnrS2 [Salmonella enterica subsp. enterica serovar Anatum]
3002792,ARO:3002792,QnrS3,3000419,QnrS3 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|EU077611.1|+|3-656|QnrS3 [Escherichia coli] Partial,gb|ABU52984.1|+|QnrS3 [Escherichia coli] Partial
3002793,ARO:3002793,QnrS4,3000419,QnrS4 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica.,1003,gb|FJ418153.1|+|1-657|QnrS4 [Salmonella enterica subsp. enterica serovar Stanley],gb|ACJ24509.1|+|QnrS4 [Salmonella enterica subsp. enterica serovar Stanley]
3002794,ARO:3002794,QnrS5,3000419,QnrS5 is a plasmid-mediated quinolone resistance protein found in Aeromonas sobria.,1003,gb|HQ631377.1|+|1-657|QnrS5 [Aeromonas sobria],gb|AEG74319.1|+|QnrS5 [Aeromonas sobria]
3002795,ARO:3002795,QnrS6,3000419,QnrS6 is a plasmid-mediated quinolone resistance protein found in Aeromonas hydrophila.,1003,gb|HQ631376.1|+|1-657|QnrS6 [Aeromonas hydrophila],gb|AEG74318.1|+|QnrS6 [Aeromonas hydrophila]
3002796,ARO:3002796,QnrS7,3000419,QnrS7 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.,1003,gb|KF730651.1|+|1-657|QnrS7 [Escherichia coli],gb|AHE41344.1|+|QnrS7 [Escherichia coli]
3002797,ARO:3002797,QnrS8,3000419,QnrS8 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.,1003,gb|KF730652.1|+|1-657|QnrS8 [Klebsiella pneumoniae],gb|AHE41345.1|+|QnrS8 [Klebsiella pneumoniae]
3002798,ARO:3002798,QnrS9,3000419,QnrS9 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.,1003,gb|KF732714.1|+|1-657|QnrS9 [Klebsiella pneumoniae],gb|AHF20043.1|+|QnrS9 [Klebsiella pneumoniae]
3002799,ARO:3002799,QnrVC1,3000419,QnrVC1 is an integron-mediated quinolone resistance protein found in Vibrio cholerae.,1003,gb|EU436855.2|+|1402-2058|QnrVC1 [Vibrio cholerae],gb|ACC54440.2|+|QnrVC1 [Vibrio cholerae]
3002800,ARO:3002800,QnrVC3,3000419,QnrVC3 is an integron-mediated quinolone resistance protein found in Vibrio cholerae.,1003,gb|HM015626.1|+|884-1540|QnrVC3 [Vibrio cholerae non-O1/non-O139],gb|ADI81040.1|+|QnrVC3 [Vibrio cholerae non-O1/non-O139]
3002801,ARO:3002801,QnrVC4,3000419,QnrVC4 is an integron-mediated quinolone resistance protein found in Aeromonas punctata.,1003,gb|GQ891757.1|+|2005-2661|QnrVC4 [Aeromonas caviae],gb|ADI55014.1|+|QnrVC4 [Aeromonas caviae]
3002802,ARO:3002802,QnrVC5,3000419,QnrVC5 is an integron-mediated quinolone resistance protein found in Vibrio fluvialis.,1003,gb|JN408080.1|+|1-657|QnrVC5 [Vibrio fluvialis],gb|AEM62764.1|+|QnrVC5 [Vibrio fluvialis]
3002803,ARO:3002803,QnrVC6,3000419,QnrVC6 is an integron-mediated quinolone resistance protein found in Acinetobacter baumannii.,1003,gb|KC202804.1|+|3875-4531|QnrVC6 [Vibrio parahaemolyticus],gb|AGH08253.1|+|QnrVC6 [Vibrio parahaemolyticus]
3002804,ARO:3002804,FosA2,3000133,An enzyme that confers resistance to fosfomycin in Enterobacter cloacae by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.,1004,gb|EU487198.1|+|217-642|FosA2 [Enterobacter cloacae],gb|ACC85616.1|+|FosA2 [Enterobacter cloacae]
3002812,ARO:3002812,pp-flo,10002,pp-flo is a plasmid chloramphenicol exporter that is found in Photobacterium damselae subsp. piscicida.,1003,gb|D37826.1|+|1071-2195|pp-flo [Photobacterium damselae subsp. piscicida],gb|BAA07072.1|+|pp-flo [Photobacterium damselae subsp. piscicida]
3002813,ARO:3002813,lmrB,10001,lmrB is a chromosomally-encoded efflux pump that confers resistance to lincosamides in Bacillus subtilis.,10000,gb|JYFL01000006.1|-|112070-113503|lmrB [Bacillus subtilis],gb|KIX81495.1|+|lmrB [Bacillus subtilis]
3002814,ARO:3002814,clbA,3000202,clbA is a plasmid-encoded cfr gene found in Bacillus velezensis (Bacillus amyloliquefaciens subsp. plantarum).,1001,gb|CP006845.1|+|539696-540745|clbA [Bacillus amyloliquefaciens CC178],gb|AGZ55247.1|+|clbA [Bacillus amyloliquefaciens CC178]
3002815,ARO:3002815,clbB,3000202,clbB is a plasmid-encoded cfr gene found in Bacillus brevis.,1001,gb|AP008955.1|-|4758176-4759207|clbB [Brevibacillus brevis NBRC 100599],gb|BAH45481.1|+|clbB [Brevibacillus brevis NBRC 100599]
3002816,ARO:3002816,clbC,3000202,clbC is a plasmid-encoded cfr gene found in Alkalihalobacillus clausii.,1001,gb|AP006627.1|+|1162418-1163470|clbC [Alkalihalobacillus clausii KSM-K16],gb|BAD63613.1|+|clbC [Alkalihalobacillus clausii KSM-K16]
3002817,ARO:3002817,carA,3007068,carA is an ABC-F subfamily protein involved in macrolide resistance. It is found in Streptomyces thermotolerans.,1003,gb|M80346.1|+|1-1656|carA [Streptomyces thermotolerans],gb|AAC32027.1|+|carA [Streptomyces thermotolerans]
3002818,ARO:3002818,msrB,3004471,MsrB is an ABC-F subfamily protein expressed to Staphylococcus species that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA.,1003,N/A,N/A
3002819,ARO:3002819,msrC,3004471,msrC is a chromosomal-encoded ABC-F subfamily protein expressed in Enterococcus faecium that confers resistance to erythromycin and other macrolide and streptogramin B antibiotics.,1003,gb|AF313494.1|+|1-1479|msrC [Enterococcus faecium],gb|AAK01167.1|+|msrC [Enterococcus faecium]
3002823,ARO:3002823,ErmH,3000560,ErmH is a plasmid-mediated methyltransferase found in Streptomyces thermotolerans.,1001,gb|M16503.1|+|244-1143|ErmH [Streptomyces thermotolerans],gb|AAC32026.1|+|ErmH [Streptomyces thermotolerans]
3002824,ARO:3002824,ErmV,3000560,ErmV is a plasmid-mediated methyltransferase found in Streptomyces viridochromogenes.,1001,gb|U59450.1|+|397-1176|ErmV [Streptomyces viridochromogenes],gb|AAB51440.1|+|ErmV [Streptomyces viridochromogenes]
3002825,ARO:3002825,ErmY,3000560,ErmY is a plasmid-mediated methyltransferase found in Staphylococcus aureus.,1001,gb|AB014481.1|+|1-735|ErmY [Staphylococcus aureus],gb|BAB20748.1|+|ErmY [Staphylococcus aureus]
3002826,ARO:3002826,EreA2,3000320,EreA2 is an integron-encoded erythromycin esterase that hydrolyses the drug's lactone ring. EreA2 is found in Providencia stuartii.,1004,gb|AF099140.1|+|137-1363|EreA2 [Providencia stuartii],gb|AAC78336.1|+|EreA2 [Providencia stuartii]
3002827,ARO:3002827,tlrC,3007068,TMB-1 is a TMB metallo-beta-lactamase found in Achromobacter sp.,1001,gb|M57437.1|+|1-1647|tlrC [Streptomyces fradiae],gb|AAA26832.1|+|tlrC [Streptomyces fradiae]
3002828,ARO:3002828,srmB,3007068,srmB is an ABC-F subfamily protein found in Streptomyces ambofaciens that confers resistance to spiramycin.,1004,gb|X63451.1|+|1-1653|srmB [Streptomyces ambofaciens],gb|CAA45050.1|+|srmB [Streptomyces ambofaciens]
3002829,ARO:3002829,vgaA,3000113,vgaA is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.,1003,gb|M90056.1|+|909-2477|vgaA [Staphylococcus aureus],gb|AAA26684.1|+|vgaA [Staphylococcus aureus]
3002830,ARO:3002830,vgaALC,3000113,vgaALC is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.,1003,gb|DQ823382.1|+|1-1569|vgaALC [Staphylococcus haemolyticus],gb|ABH10964.1|+|vgaALC [Staphylococcus haemolyticus]
3002831,ARO:3002831,vgaC,3000113,vgaC is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.,1003,gb|FN806792.1|+|101-1669|vgaC [Staphylococcus aureus],gb|CBL58195.1|+|vgaC [Staphylococcus aureus]
3002832,ARO:3002832,vgaD,3000113,vgaD is an ABC-F subfamily protein expressed in Enterococcus faecium that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.,1003,gb|GQ205627.1|+|1394-2971|vgaD [Enterococcus faecium],gb|ACX92986.2|+|vgaD [Enterococcus faecium]
3002833,ARO:3002833,vgaE,3000113,vgaE is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with transposon DNA.,1003,gb|FR772051.1|+|8741-10315|vgaE [Staphylococcus aureus subsp. aureus ST398],gb|CBY88983.1|+|vgaE [Staphylococcus aureus subsp. aureus ST398]
3002835,ARO:3002835,lnuA,3000221,lnuA is a plasmid-mediated nucleotidyltransferase found in Staphylococcus chromogenes.,1004,gb|M14039.1|+|413-898|lnuA [Staphylococcus haemolyticus],gb|AAA26652.1|+|lnuA [Staphylococcus haemolyticus]
3002836,ARO:3002836,lnuB,3000221,lnuB is a plasmid-mediated nucleotidyltransferase found in Streptococcus lutetiensis.,1004,gb|AJ238249.1|+|127-930|lnuB [Enterococcus faecium],gb|CAB41414.1|+|lnuB [Enterococcus faecium]
3002837,ARO:3002837,lnuC,3000221,lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.,1004,gb|AY928180.1|+|1-495|lnuC [Streptococcus agalactiae],gb|AAY32951.1|+|lnuC [Streptococcus agalactiae]
3002838,ARO:3002838,lnuD,3000221,lnuD is a plasmid-mediated nucleotidyltransferase found in Streptococcus uberis.,1004,gb|EF452177.1|+|1-495|lnuD [Streptococcus uberis],gb|ABR14060.1|+|lnuD [Streptococcus uberis]
3002839,ARO:3002839,lnuF,3000221,lnuF is an integron-mediated nucleotidyltransferase found in Escherichia coli.,1004,gb|AJ561197.2|+|1321-2142|lnuF [Escherichia coli],gb|CAD91132.1|+|lnuF [Escherichia coli]
3002840,ARO:3002840,vatA,3000453,vatA is a plasmid-mediated acetyltransferase found in Staphylococcus aureus.,1001,gb|L07778.1|+|1-660|vatA [Staphylococcus aureus],gb|AAA26683.1|+|vatA [Staphylococcus aureus]
3002841,ARO:3002841,vatB,3000453,vatB is a plasmid-mediated acetyltransferase found in Staphylococcus aureus.,1004,gb|U19459.1|+|67-705|vatB [Staphylococcus aureus],gb|AAA86871.1|+|vatB [Staphylococcus aureus]
3002842,ARO:3002842,vatC,3000453,vatC is a plasmid-mediated acetyltransferase found in Staphylococcus cohnii.,1004,gb|AF015628.1|+|1307-1945|vatC [Staphylococcus cohnii],gb|AAC61671.1|+|vatC [Staphylococcus cohnii]
3002843,ARO:3002843,vatD,3000453,vatD is a transposon-mediated acetyltransferase found in Enterococcus faecium.,1004,gb|AF368302.1|+|2717-3331|vatD [Enterococcus faecium],gb|AAK84316.1|+|vatD [Enterococcus faecium]
3002844,ARO:3002844,vatE,3000453,vatE is a transposon-mediated acetyltransferase found in Enterococcus faecium.,1004,gb|AF242872.1|+|3580-4224|vatE [Enterococcus faecium],gb|AAF86220.1|+|vatE [Enterococcus faecium]
3002845,ARO:3002845,vatH,3000453,vatH is a plasmid-mediated acetyltransferase found in Enterococcus faecium.,1004,gb|GQ205627.2|+|3037-3687|vatH [Enterococcus faecium],gb|ACX92987.1|+|vatH [Enterococcus faecium]
3002846,ARO:3002846,arr-1,3000390,arr-1 is a chromosome-encoded ribosyltransferase found in Mycolicibacterium smegmatis.,1004,gb|AF001493.1|+|1-432|arr-1 [Mycolicibacterium smegmatis],gb|AAC05822.1|+|arr-1 [Mycolicibacterium smegmatis]
3002847,ARO:3002847,arr-2,3000390,arr-2 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.,1004,gb|AF078527.1|+|4388-4840|arr-2 [Pseudomonas aeruginosa],gb|AAC64366.1|+|arr-2 [Pseudomonas aeruginosa]
3002848,ARO:3002848,arr-3,3000390,arr-3 is a plasmid-encoded ribosyltransferase found in Vibrio fluvialis.,1004,gb|EU675686.1|+|1957-2409|arr-3 [Escherichia coli],gb|ACD56151.1|+|arr-3 [Escherichia coli]
3002849,ARO:3002849,arr-4,3000390,arr-4 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.,1004,gb|EF660562.1|+|1672-2124|arr-4 [Pseudomonas aeruginosa],gb|ABV26705.1|+|arr-4 [Pseudomonas aeruginosa]
3002850,ARO:3002850,arr-5,3000390,arr-5 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.,1004,gb|EF660563.1|+|393-845|arr-5 [Klebsiella pneumoniae],gb|ABV26707.1|+|arr-5 [Klebsiella pneumoniae]
3002852,ARO:3002852,arr-7,3000390,arr-7 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.,1004,gb|FN397623.1|+|1189-1641|arr-7 [Pseudomonas aeruginosa],gb|CAZ48628.1|+|arr-7 [Pseudomonas aeruginosa]
3002853,ARO:3002853,arr-8,3000390,arr-8 is an integron-encoded ribosyltransferase found in Klebsiella oxytoca.,1004,gb|KC199968.1|+|1-453|arr-8 [Klebsiella oxytoca],gb|AGC29882.1|+|arr-8 [Klebsiella oxytoca]
3002854,ARO:3002854,dfrA1,3005347,dfrA1 is an integron-encoded dihydrofolate reductase.,1002,gb|KJ541681.1|+|19527-20000|dfrA1 [Klebsiella oxytoca],gb|AAP74961.2|+|dfrA1 [Klebsiella oxytoca]
3002856,ARO:3002856,dfrA24,3005347,dfrA24 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,1002,gb|AJ972619.1|+|83-640|dfrA24 [Escherichia coli],gb|CAI99385.1|+|dfrA24 [Escherichia coli]
3002857,ARO:3002857,dfrA26,3005347,dfrA26 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,1002,gb|AM403715.1|+|303-854|dfrA26 [Escherichia coli],gb|CAL48457.1|+|dfrA26 [Escherichia coli]
3002858,ARO:3002858,dfrA12,3005347,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.,1002,gb|GU585907.1|-|21606-22103|dfrA12 [Klebsiella pneumoniae],gb|ADG84870.1|+|dfrA12 [Klebsiella pneumoniae]
3002859,ARO:3002859,dfrA14,3005347,dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,1002,gb|KF921535.1|+|618-1091|dfrA14 [Escherichia coli],gb|AHK10285.1|+|dfrA14 [Escherichia coli]
3002860,ARO:3002860,dfrA17,3005347,dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,1002,gb|DQ838665.1|+|1-474|dfrA17 [Pseudomonas aeruginosa],gb|ABG91835.1|+|dfrA17 [Pseudomonas aeruginosa]
3002861,ARO:3002861,dfrA5,3005347,dfrA5 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.,1002,gb|DQ278190.1|+|1-474|dfrA5 [Salmonella enterica subsp. enterica serovar Enteritidis],gb|ABB89122.1|+|dfrA5 [Salmonella enterica subsp. enterica serovar Enteritidis]
3002862,ARO:3002862,dfrA7,3005347,dfrA7 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,1002,gb|FJ854362.1|+|2339-2812|dfrA7 [Acinetobacter baumannii],gb|ACS44716.1|+|dfrA7 [Acinetobacter baumannii]
3002863,ARO:3002863,dfrA8,3005347,dfrA8 is a transposon-encoded dihydrofolate reductase found in Salmonella enterica.,1002,gb|KJ174469.1|+|711-1220|dfrA8 [Salmonella enterica subsp. enterica serovar Typhimurium],gb|AHV80711.1|+|dfrA8 [Salmonella enterica subsp. enterica serovar Typhimurium]
